id,building_id,battery_type,status,employee_id,date_of_commissioning,operations_certificate,last_inspection_date,information,notes,created_at,updated_at
1,1,Residential,Inactive,1,2016-08-20 19:10:57,21695-189,2018-07-11 18:38:42,Grass-roots dedicated throughput,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2016-11-18 19:29:27,2018-07-07 14:53:48
2,2,Corporate,Active,2,2017-07-29 08:58:01,45802-660,2018-09-09 02:04:19,Organic coherent superstructure,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2017-06-11 09:39:19,2018-02-11 21:10:38
3,3,Commercial,Active,3,2017-10-02 16:55:07,30142-800,2018-10-30 18:40:04,Operative scalable hierarchy,Nunc rhoncus dui vel sem. Sed sagittis.,2017-05-25 13:36:58,2018-10-08 16:53:39
4,4,Hybrid,Active,4,2017-04-09 18:32:33,54868-6070,2018-12-06 18:12:10,Synergistic foreground functionalities,Vestibulum rutrum rutrum neque.,2016-11-19 18:41:49,2018-02-22 00:31:41
5,5,Residential,Active,5,2016-05-31 23:29:13,58238-229,2018-12-20 15:26:36,Networked even-keeled productivity,Morbi non lectus.,2017-04-21 21:45:49,2018-03-10 05:53:59
6,6,Corporate,Active,6,2016-11-21 22:29:01,64376-811,2019-01-16 23:17:45,Adaptive upward-trending local area network,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2017-02-24 01:53:19,2017-11-12 08:51:44
7,7,Commercial,Active,7,2016-07-24 01:21:37,56062-272,2019-01-07 01:47:12,Triple-buffered non-volatile focus group,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2016-07-25 23:14:23,2018-01-13 15:22:33
8,8,Hybrid,Active,8,2017-06-19 05:18:41,76323-002,2019-02-23 09:18:08,Expanded attitude-oriented success,Phasellus sit amet erat.,2016-12-10 13:31:09,2019-02-13 15:00:49
9,9,Residential,Inactive,9,2017-01-03 02:39:44,68428-116,2019-02-24 11:32:05,Face to face needs-based focus group,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,2016-11-03 18:37:04,2018-02-15 20:52:42
10,10,Corporate,Active,10,2017-10-28 23:27:04,0573-1945,2018-12-28 00:21:48,Distributed scalable parallelism,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,2016-06-02 00:18:10,2017-07-10 19:14:23
11,11,Commercial,Active,11,2017-12-12 10:00:05,76420-771,2018-06-20 05:56:11,Advanced explicit interface,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,2017-05-26 18:31:42,2018-12-13 14:56:58
12,12,Hybrid,Active,12,2017-09-24 08:58:54,51862-179,2019-03-10 17:29:09,Persevering interactive open system,Etiam justo. Etiam pretium iaculis justo.,2017-03-05 03:51:49,2018-04-17 03:37:54
13,13,Residential,Active,13,2017-10-25 17:50:04,41250-706,2018-06-18 16:14:25,Secured secondary hub,In hac habitasse platea dictumst.,2016-11-17 19:40:51,2018-06-05 12:32:56
14,14,Corporate,Active,14,2016-06-17 06:38:06,76420-795,2019-01-31 09:19:15,Centralized interactive capacity,Vivamus tortor.,2017-01-09 02:26:02,2018-07-15 22:14:37
15,15,Commercial,Active,15,2017-04-06 20:59:56,58118-0647,2018-08-11 16:59:58,Pre-emptive next generation strategy,Aliquam non mauris. Morbi non lectus.,2016-04-05 19:27:16,2018-03-11 12:28:07
16,16,Hybrid,Active,16,2016-07-08 21:02:32,63323-403,2018-07-27 10:37:24,Visionary national adapter,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2016-04-01 13:02:57,2017-12-19 12:14:42
17,17,Residential,Active,17,2016-12-01 06:00:00,63187-117,2018-06-23 09:54:59,Total analyzing attitude,Praesent blandit lacinia erat.,2016-08-23 23:12:28,2018-08-03 23:45:50
18,18,Corporate,Active,18,2017-06-21 06:33:57,0942-6445,2018-09-18 13:26:06,Centralized zero tolerance instruction set,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2016-07-01 04:47:36,2018-05-08 04:49:06
19,19,Commercial,Inactive,19,2016-10-07 11:56:00,60429-068,2018-06-17 14:05:15,Face to face responsive policy,Aenean lectus.,2016-09-11 16:42:47,2018-07-17 06:31:56
20,20,Hybrid,Active,20,2018-02-27 00:48:45,58118-1064,2018-09-23 15:43:13,Down-sized heuristic application,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2016-06-19 11:43:47,2018-11-08 12:43:30
21,21,Residential,Active,21,2017-09-24 10:33:12,0270-0091,2018-08-03 08:43:01,Synchronised responsive paradigm,In eleifend quam a odio.,2017-04-06 19:03:32,2017-08-18 20:01:02
22,22,Corporate,Active,22,2016-08-31 16:47:35,63739-110,2018-07-30 05:54:10,Expanded intermediate customer loyalty,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,2016-04-26 11:14:24,2018-12-30 00:36:13
23,23,Commercial,Active,23,2016-03-15 14:45:34,0168-0410,2018-11-08 04:45:55,Adaptive object-oriented secured line,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2017-03-07 04:14:13,2017-07-07 16:48:47
24,24,Hybrid,Active,24,2016-04-17 11:57:54,63824-124,2019-01-08 14:35:58,Secured zero defect approach,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,2016-08-12 19:37:51,2018-12-20 19:34:31
25,25,Residential,Active,25,2017-01-25 05:57:27,63629-3317,2018-09-01 10:52:20,Phased content-based ability,Fusce consequat. Nulla nisl.,2016-10-21 20:41:46,2017-06-13 14:15:02
26,26,Corporate,Active,26,2016-05-02 18:09:57,42549-511,2019-01-17 07:30:11,Universal coherent help-desk,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2017-06-12 13:06:17,2018-05-29 12:52:43
27,27,Commercial,Intervention,27,2016-08-31 09:38:33,69145-201,2019-01-10 07:14:52,Cross-group transitional orchestration,In eleifend quam a odio. In hac habitasse platea dictumst.,2016-08-09 17:18:39,2017-06-13 15:39:36
28,28,Hybrid,Active,28,2016-03-21 20:28:42,63304-210,2019-03-01 08:17:19,Right-sized 24 hour complexity,Duis at velit eu est congue elementum.,2016-10-22 14:42:10,2018-07-02 19:57:54
29,29,Residential,Active,29,2016-12-20 03:53:08,68788-9204,2018-11-10 10:19:43,Automated asymmetric instruction set,Suspendisse ornare consequat lectus.,2017-01-16 12:21:31,2018-04-16 16:43:58
30,30,Corporate,Active,30,2016-05-20 13:09:00,41163-202,2018-10-21 15:44:12,Multi-channelled non-volatile access,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,2016-11-05 08:22:54,2018-06-27 19:51:59
31,31,Commercial,Active,31,2016-06-05 21:16:50,68016-333,2019-02-10 05:42:29,Secured holistic moratorium,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2016-08-23 02:18:22,2018-04-17 04:39:02
32,32,Hybrid,Active,32,2016-04-03 06:49:42,65903-270,2018-10-02 13:46:39,Intuitive tangible model,Etiam vel augue.,2017-06-02 12:45:35,2018-08-29 20:02:40
33,33,Residential,Active,33,2016-04-05 11:54:44,60505-3411,2019-01-19 01:39:43,Progressive bottom-line groupware,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2016-07-26 11:41:09,2018-08-02 05:08:30
34,34,Corporate,Active,34,2017-08-03 04:20:44,16590-051,2018-11-03 00:11:43,Operative foreground definition,Suspendisse potenti.,2016-06-21 10:56:59,2018-12-14 09:31:36
35,35,Commercial,Inactive,35,2017-01-09 01:11:41,65044-3716,2018-11-01 02:27:51,Decentralized global migration,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2016-07-20 01:57:45,2017-10-30 10:15:44
36,36,Hybrid,Active,36,2017-08-05 16:01:38,43772-0036,2018-11-03 06:47:26,Focused bi-directional product,Cras in purus eu magna vulputate luctus.,2016-05-16 04:44:36,2017-10-07 05:04:37
37,37,Residential,Active,37,2016-08-20 11:47:38,57955-7145,2019-02-12 05:22:45,Balanced impactful product,Nulla mollis molestie lorem. Quisque ut erat.,2016-05-21 04:33:56,2018-04-21 23:04:45
38,38,Corporate,Active,38,2017-05-16 17:10:42,0002-8315,2018-07-12 02:26:39,Digitized disintermediate knowledge base,Donec posuere metus vitae ipsum.,2016-09-06 23:17:58,2018-02-12 19:28:12
39,39,Commercial,Active,39,2017-08-27 07:40:55,55714-1112,2018-12-24 12:54:07,Expanded bottom-line algorithm,Aenean sit amet justo.,2016-07-28 21:05:10,2018-06-13 11:00:35
40,40,Hybrid,Active,40,2016-04-24 14:26:30,36987-2448,2018-10-20 14:32:45,Virtual holistic time-frame,Duis mattis egestas metus.,2017-02-22 09:44:04,2017-11-13 19:02:51
41,41,Residential,Inactive,41,2017-11-25 20:51:31,0904-5816,2018-09-28 15:15:10,Streamlined 5th generation strategy,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2017-04-25 16:08:05,2017-12-15 08:48:13
42,42,Corporate,Active,42,2016-05-29 20:15:12,68382-386,2018-07-31 04:28:17,De-engineered fresh-thinking attitude,Morbi non quam nec dui luctus rutrum.,2016-11-27 22:48:49,2018-08-03 01:07:43
43,43,Commercial,Active,43,2017-10-11 16:51:10,36987-1992,2018-11-01 21:37:47,Front-line bottom-line superstructure,Quisque ut erat. Curabitur gravida nisi at nibh.,2017-03-05 00:25:25,2019-01-24 22:00:22
44,44,Hybrid,Active,44,2016-11-23 05:29:27,57520-0519,2019-02-04 04:19:16,Up-sized object-oriented open system,Nulla suscipit ligula in lacus.,2016-03-29 12:00:48,2018-04-09 11:17:04
45,45,Residential,Active,45,2017-03-28 02:16:30,36987-1210,2018-06-19 18:52:34,Enhanced human-resource database,In hac habitasse platea dictumst.,2017-04-25 04:20:14,2017-07-12 04:10:09
46,46,Corporate,Active,46,2017-08-30 08:32:53,50458-401,2018-10-30 14:02:53,Cloned heuristic hierarchy,Phasellus id sapien in sapien iaculis congue.,2017-06-07 11:44:10,2018-02-13 01:25:42
47,47,Commercial,Active,47,2016-11-03 23:44:11,63874-203,2018-09-15 07:35:39,Future-proofed upward-trending emulation,Proin eu mi.,2016-11-01 12:20:52,2018-02-27 08:29:46
48,48,Hybrid,Inactive,48,2016-06-04 18:24:05,58118-2212,2018-10-31 00:29:29,Implemented foreground open architecture,Praesent blandit. Nam nulla.,2017-05-19 03:18:46,2017-09-08 20:35:08
49,49,Residential,Active,49,2017-08-01 22:57:44,64942-0774,2018-12-25 11:33:28,Up-sized real-time instruction set,Nullam molestie nibh in lectus. Pellentesque at nulla.,2016-03-25 05:32:29,2018-01-15 11:48:39
50,50,Corporate,Active,50,2016-12-13 13:29:23,49349-509,2019-03-01 06:22:34,Multi-channelled static flexibility,In congue. Etiam justo.,2017-05-06 19:45:48,2019-01-19 04:49:07
51,51,Commercial,Active,51,2017-12-08 05:00:10,60432-604,2018-11-03 16:06:25,User-friendly attitude-oriented encoding,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,2016-08-10 03:28:58,2018-03-02 15:44:20
52,52,Hybrid,Active,52,2017-10-24 02:37:43,61722-022,2018-12-10 06:02:16,Visionary national data-warehouse,Etiam faucibus cursus urna. Ut tellus.,2016-12-11 20:06:23,2018-04-16 01:07:59
53,53,Residential,Active,53,2016-08-31 08:01:45,0009-0003,2018-12-03 16:57:27,Function-based value-added ability,Proin eu mi. Nulla ac enim.,2017-01-08 20:50:56,2018-10-31 07:07:53
54,54,Corporate,Active,54,2016-07-20 02:28:40,51660-204,2018-06-17 03:37:40,Distributed motivating capability,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2017-01-21 06:31:25,2019-02-26 08:42:58
55,55,Commercial,Active,55,2016-06-04 17:49:34,44577-020,2019-01-11 21:46:38,Decentralized multi-state budgetary management,Vestibulum ac est lacinia nisi venenatis tristique.,2016-10-27 04:05:44,2018-10-27 03:19:50
56,56,Hybrid,Intervention,56,2017-07-06 04:38:47,57664-246,2018-06-22 03:31:52,Cross-platform upward-trending service-desk,Suspendisse potenti.,2016-04-01 02:51:37,2019-02-15 21:50:22
57,57,Residential,Active,57,2016-10-06 06:31:18,59667-0062,2019-01-28 13:37:51,Organized tertiary contingency,Aliquam non mauris.,2017-02-27 00:23:35,2019-03-08 13:09:10
58,58,Corporate,Active,58,2016-08-15 18:08:52,53145-056,2018-12-20 09:14:38,Customer-focused incremental orchestration,Pellentesque at nulla. Suspendisse potenti.,2017-03-01 01:03:58,2018-09-15 23:30:28
59,59,Commercial,Active,59,2017-11-07 20:58:29,47335-581,2018-07-15 16:35:31,Seamless client-driven Graphic Interface,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",2016-08-20 01:49:47,2018-07-10 04:31:54
