id,column_id,serial_number,elevator_class,elevator_type,status,date_of_commissioning,date_of_last_inspection,inspection_certificate,information,notes,created_at,updated_at
1,1,CY80 9317 8225 T6TQ ZK5R PFKU FO6A,Excelium,Residential,Active,2017-05-19 08:35:51,2018-07-05 10:09:21,189314674-X,Decentralized encompassing strategy,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2016-05-16 16:34:11,2018-03-05 20:52:11
2,2,LB10 3957 HTZU ITHL EJDT ZQKF ERH7,Excelium,Corporate,Active,2017-09-21 13:00:34,2018-10-13 19:01:32,834383997-8,Digitized mission-critical support,Praesent id massa id nisl venenatis lacinia.,2017-01-14 23:48:08,2017-11-27 13:37:41
3,3,LB58 5435 NMYR OJLV E482 SQPB IQMH,Excelium,Commercial,Active,2017-06-09 06:33:08,2018-07-28 07:27:32,148092897-6,Multi-layered secondary customer loyalty,Aenean sit amet justo. Morbi ut odio.,2016-08-16 22:16:57,2019-02-09 15:05:01
4,4,SK44 9447 0168 0499 9399 5575,Premium,Hybrid,Active,2017-10-01 18:41:02,2018-08-14 01:01:26,252961814-3,Public-key stable service-desk,Integer a nibh. In quis justo.,2016-04-18 02:08:16,2018-05-10 23:40:04
5,5,MT78 OIFN 6841 9O2H 9C1H SNSM TTGE 85S,Excelium,Residential,Inactive,2017-08-23 19:03:30,2018-09-16 23:18:37,441073320-6,Reverse-engineered scalable access,Etiam justo.,2016-08-10 14:08:42,2018-09-04 04:38:34
6,6,CH22 4704 72ST BQWA OSME F,Excelium,Corporate,Active,2018-01-05 03:14:16,2018-07-12 14:32:54,826671079-1,Sharable actuating groupware,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2016-11-11 10:03:04,2018-06-21 03:55:33
7,7,DO74 RPKI 3128 9264 7633 4311 5159,Premium,Commercial,Active,2017-10-14 23:34:26,2018-10-10 23:20:04,379458422-8,Front-line bottom-line approach,Nunc rhoncus dui vel sem.,2016-07-03 04:50:33,2017-07-06 07:02:07
8,8,PT42 8093 1050 2317 8729 6047 5,Premium,Hybrid,Active,2016-07-25 04:28:11,2018-12-15 03:43:42,951397550-9,Balanced encompassing alliance,Donec semper sapien a libero.,2016-12-29 23:29:28,2017-10-23 10:56:32
9,9,SI22 5365 0229 7305 395,Premium,Residential,Active,2016-04-14 22:33:29,2018-11-12 20:51:10,922346424-2,Front-line tertiary adapter,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2017-02-06 18:52:35,2018-07-29 14:06:50
10,10,GE80 FB85 2154 4244 4293 38,Standard,Corporate,Active,2017-09-01 19:54:39,2018-12-27 16:26:30,742011958-9,Up-sized interactive moratorium,Aliquam erat volutpat. In congue.,2016-09-23 00:07:01,2017-07-19 03:02:19
11,11,BH76 FQNL HN1X HIDU KKJB JQ,Premium,Commercial,Active,2017-10-25 00:58:10,2019-01-24 02:19:46,900263520-6,Profit-focused even-keeled local area network,Duis bibendum. Morbi non quam nec dui luctus rutrum.,2016-09-28 07:59:59,2018-10-27 15:52:37
12,12,FR26 9180 0527 58MM O8GY WYF7 C58,Premium,Hybrid,Active,2016-10-23 10:52:16,2018-09-18 15:09:08,504165922-2,Enhanced explicit array,Duis at velit eu est congue elementum.,2017-02-01 01:27:43,2018-01-21 11:12:18
13,13,ES27 8883 7366 1915 9120 0601,Excelium,Residential,Active,2017-10-03 16:08:06,2018-09-10 00:15:15,946503105-4,Persistent static archive,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2016-10-15 05:26:50,2017-09-17 00:12:13
14,14,FR35 2649 1088 49N6 2CSW P0I7 418,Premium,Corporate,Active,2016-12-06 03:28:14,2018-08-16 08:41:34,465726043-X,Fundamental analyzing approach,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,2017-04-06 22:43:59,2017-07-06 04:20:26
15,15,LB96 9964 G5OX D5N8 BRGD FL2Y KXMI,Standard,Commercial,Active,2016-06-15 17:54:22,2018-10-10 21:25:41,892007506-9,Down-sized actuating focus group,Praesent blandit lacinia erat.,2016-08-18 16:29:07,2018-05-20 06:26:50
16,16,MR06 0442 3415 3265 0748 3325 664,Premium,Hybrid,Active,2017-08-14 20:03:24,2018-12-11 10:39:58,132098996-9,Down-sized systematic encryption,Ut at dolor quis odio consequat varius.,2016-09-03 18:54:05,2017-09-12 01:11:40
17,17,BG88 FAOY 2446 87C8 G7DH PT,Standard,Residential,Active,2017-12-18 05:06:21,2019-02-02 18:39:10,575721069-9,User-centric actuating collaboration,Donec dapibus.,2017-05-16 04:07:57,2017-09-11 20:54:06
